Area_Name,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Urban_Influence_Code_2024
New York,18.1,697430.0,18.2,182237.0,17.3,490827.0,13.9,2660117.0,81555.0,19.1,739182.0,20.0,200927.0,18.5,527693.0,14.3,2735253.0,82549.0,82052.0,18.6,19.1,17.9,14.1,718306.0,191582.0,509260.0,2697685.0,,,,
North Carolina,16.9,388602.0,17.5,102807.0,16.1,274735.0,12.6,1325459.0,70296.0,18.1,417480.0,19.3,113981.0,17.7,301233.0,13.0,1378177.0,71380.0,70838.0,17.5,18.4,16.9,12.8,403041.0,108394.0,287984.0,1351818.0,,,,
North Dakota,8.9,16126.0,8.6,4091.0,7.9,10468.0,9.5,71409.0,75613.0,11.3,20386.0,12.4,5867.0,10.9,14342.0,10.5,79557.0,79079.0,77346.0,10.1,10.5,9.4,10.0,18256.0,4979.0,12405.0,75483.0,,,,
Ohio,16.9,425613.0,17.5,112556.0,15.8,295383.0,13.0,1492381.0,67151.0,18.1,458255.0,19.7,126190.0,17.4,325565.0,13.4,1543851.0,68595.0,67873.0,17.5,18.6,16.6,13.2,441934.0,119373.0,310474.0,1518116.0,,,,
Oklahoma,19.8,187244.0,21.5,50800.0,18.4,130615.0,15.5,609199.0,61642.0,21.2,201156.0,24.1,56980.0,20.2,143105.0,16.1,632901.0,62598.0,62120.0,20.5,22.8,19.3,15.8,194200.0,53890.0,136860.0,621050.0,,,,
Oregon,12.8,104717.0,13.6,26574.0,11.7,71799.0,11.8,490856.0,79043.0,14.4,118273.0,16.4,32066.0,13.7,84477.0,12.4,516660.0,81079.0,80061.0,13.6,15.0,12.7,12.1,111495.0,29320.0,78138.0,503758.0,,,,
Pennsylvania,14.9,384307.0,15.6,101148.0,14.0,268801.0,11.7,1471263.0,73318.0,16.1,416761.0,18.0,116200.0,15.4,297509.0,12.1,1524129.0,74334.0,73826.0,15.5,16.8,14.7,11.9,400534.0,108674.0,283155.0,1497696.0,,,,
Rhode Island,13.7,27551.0,14.5,7424.0,12.5,18443.0,10.8,113989.0,81248.0,16.5,32997.0,18.7,9522.0,15.9,23511.0,12.0,126185.0,85788.0,83518.0,15.1,16.6,14.2,11.4,30274.0,8473.0,20977.0,120087.0,,,,
South Carolina,17.9,201409.0,18.1,50957.0,17.0,142435.0,13.6,706516.0,66963.0,19.7,221041.0,20.9,59127.0,19.2,160207.0,14.2,742752.0,69013.0,67988.0,18.8,19.5,18.1,13.9,211225.0,55042.0,151321.0,724634.0,,,,
South Dakota,12.2,26559.0,12.6,7150.0,11.1,17737.0,10.8,96133.0,70840.0,14.8,32069.0,16.2,9224.0,14.3,22825.0,12.0,106235.0,74748.0,72794.0,13.5,14.4,12.7,11.4,29314.0,8187.0,20281.0,101184.0,,,,
Tennessee,18.0,277427.0,17.8,71290.0,17.3,196523.0,13.5,942879.0,66801.0,19.8,304409.0,20.6,82064.0,19.5,221483.0,14.1,984079.0,68501.0,67651.0,18.9,19.2,18.4,13.8,290918.0,76677.0,209003.0,963479.0,,,,
Texas,17.9,1338184.0,18.9,356859.0,17.0,946489.0,13.5,4036213.0,75308.0,18.9,1408738.0,20.3,384719.0,18.2,1010857.0,13.9,4146523.0,76248.0,75778.0,18.4,19.6,17.6,13.7,1373461.0,370789.0,978673.0,4091368.0,,,,
Utah,8.5,78817.0,8.5,19241.0,8.0,54809.0,8.6,290726.0,91700.0,9.9,91377.0,10.7,24103.0,9.6,66147.0,9.4,314626.0,94360.0,93030.0,9.2,9.6,8.8,9.0,85097.0,21672.0,60478.0,302676.0,,,,
Vermont,9.0,10202.0,8.8,2301.0,7.9,6762.0,9.4,58383.0,78364.0,11.4,12828.0,12.6,3307.0,10.7,9170.0,10.4,64799.0,82888.0,80626.0,10.2,10.7,9.3,9.9,11515.0,2804.0,7966.0,61591.0,,,,
Virginia,12.1,223684.0,11.7,55712.0,11.5,158452.0,10.0,847246.0,88915.0,13.3,246746.0,13.7,65110.0,13.1,179822.0,10.4,886858.0,90813.0,89864.0,12.7,12.7,12.3,10.2,235215.0,60411.0,169137.0,867052.0,,,,
Washington,11.5,186017.0,12.3,50201.0,10.5,124561.0,10.0,773166.0,93372.0,12.7,206267.0,14.5,59499.0,11.9,142503.0,10.6,813360.0,95734.0,94553.0,12.1,13.4,11.2,10.3,196142.0,54850.0,133532.0,793263.0,,,,
West Virginia,18.5,63767.0,20.2,17283.0,17.1,44026.0,15.9,273889.0,54849.0,20.7,71351.0,24.2,20641.0,19.7,50808.0,16.9,289955.0,56901.0,55875.0,19.6,22.2,18.4,16.4,67559.0,18962.0,47417.0,281922.0,,,,
Wisconsin,12.1,149367.0,12.3,37183.0,11.4,105036.0,10.4,599659.0,73907.0,13.5,165653.0,14.7,44461.0,13.0,119482.0,10.8,628479.0,75435.0,74671.0,12.8,13.5,12.2,10.6,157510.0,40822.0,112259.0,614069.0,,,,
Wyoming,10.6,13577.0,11.2,3387.0,9.3,9062.0,9.7,55651.0,71435.0,13.4,17133.0,15.4,4691.0,12.7,12400.0,11.1,63265.0,75681.0,73558.0,12.0,13.3,11.0,10.4,15355.0,4039.0,10731.0,59458.0,,,,
