Area_Name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
Cape May County,3.0,2.0,2.0,4.0,11364.0,16048.0,19595.0,27192.0,2732.0,7003.0,11398.0,20152.0,23787.0,26475.0,25898.0,22984.0,20540.0,20241.0,17117.0,13210.0,7605.0,3893.0,7.3,13.0,7.5,12.1,20.7,23.5,25.28984692,25.53915223,36.1,36.3,36.43910401,31.65229845,26.0,18.1,10.70041648,5.361225108,17.2,22.0,27.5706326,37.44732421,30.4,37.4,54.8,37.5,2801.0,6530.0,13648.0,17145.0,17974.0,18545.0
"Capitol Planning Region, Connecticut",,,1.0,1.0,,,,280403.0,,,,,,,,169580.0,,,,,,59710.0,,,,,,,,24.58500468,,,,25.0913293,,,,8.834787549,,,,41.48887847,,,,,,,,,,166158.0
Carbon County,3.0,2.0,3.0,4.0,1079.0,1560.0,2116.0,2534.0,316.0,684.0,1412.0,1936.0,1865.0,2415.0,2666.0,2794.0,2184.0,1586.0,1231.0,800.0,486.0,275.0,7.2,13.1,11.3,19.3,25.6,28.7,30.30824183,33.05054367,33.3,36.0,35.2692155,33.38511172,21.9,11.9,6.429421881,3.285936193,19.2,23.3,27.99312078,30.27840841,32.0,37.2,49.5,30.4,500.0,1004.0,1434.0,1926.0,2291.0,2766.0
Caribou County,6.0,6.0,8.0,6.0,462.0,700.0,662.0,711.0,343.0,615.0,1342.0,1745.0,1440.0,1500.0,1703.0,1628.0,1070.0,1017.0,616.0,589.0,441.0,433.0,10.7,14.4,14.1,20.9,35.8,36.5,37.93408538,39.47598253,36.7,34.2,37.66865738,35.54585153,15.7,13.4,9.754479098,9.454148472,11.8,15.9,14.64277815,15.52401747,41.9,40.9,33.4,23.8,451.0,893.0,1406.0,1602.0,1715.0,1808.0
Carlisle County,9.0,10.0,3.0,4.0,230.0,390.0,538.0,484.0,71.0,160.0,898.0,1360.0,1439.0,1456.0,1472.0,1480.0,2233.0,1642.0,1321.0,983.0,582.0,301.0,2.1,4.6,5.8,8.5,14.8,23.3,27.2318922,31.59166415,41.0,39.5,41.32509826,44.69948656,37.7,26.6,16.33913532,9.090909091,6.6,10.6,15.10387423,14.6179402,26.4,39.3,65.7,47.5,197.0,295.0,518.0,861.0,970.0,1046.0
Carlton County,2.0,2.0,2.0,4.0,2314.0,3164.0,5339.0,6581.0,948.0,1864.0,5417.0,7460.0,7378.0,7934.0,8232.0,7933.0,7467.0,5843.0,4721.0,3338.0,2116.0,1672.0,6.3,10.6,8.0,13.5,24.0,32.0,35.74851526,37.28787292,38.9,37.4,33.71697727,30.73614878,24.9,15.7,8.666803195,6.47810926,12.2,14.9,21.86770428,25.49786904,36.0,42.5,49.7,33.3,1206.0,2373.0,4551.0,6802.0,8728.0,9624.0
Carolina Municipio,1.0,1.0,1.0,1.0,17437.0,25105.0,32582.0,39908.0,,10095.0,,25658.0,25475.0,27843.0,29617.0,30663.0,,36510.0,37190.0,33086.0,23540.0,13633.0,,11.9,,14.7,21.4,26.3,27.67204873,26.63367372,25.0,23.8,24.98439372,26.71644652,36.5,28.3,19.85794065,11.87833269,17.1,21.5,27.48561691,34.77154707,,30.3,,43.1,,12460.0,21794.0,30709.0,32803.0,30568.0
Caroline County,6.0,4.0,6.0,3.0,1886.0,2361.0,3131.0,4013.0,618.0,1281.0,2323.0,4005.0,6690.0,8219.0,9023.0,8947.0,7754.0,7427.0,5805.0,4883.0,3802.0,3652.0,5.5,9.1,5.1,9.2,17.9,20.9,27.01491172,27.25521107,38.2,42.0,41.27252767,39.17936591,33.2,25.0,17.3909066,15.99229287,10.8,12.1,14.32165401,17.57313015,20.6,28.6,68.8,53.0,576.0,1295.0,3129.0,4087.0,5906.0,6224.0
Carroll County,6.0,6.0,6.0,6.0,1471.0,2380.0,3174.0,4296.0,398.0,1056.0,2177.0,3776.0,4460.0,5855.0,7177.0,7078.0,4706.0,4618.0,4012.0,4857.0,3615.0,3255.0,5.1,9.8,7.4,12.2,21.6,23.9,27.27178045,28.0882859,35.2,34.0,37.37436859,34.79329499,31.6,28.2,18.82518357,16.00058988,11.6,13.8,16.5286674,21.11782923,27.7,35.1,59.8,42.9,583.0,1313.0,2735.0,4115.0,5237.0,5714.0
Carson City,3.0,2.0,3.0,4.0,4578.0,6639.0,8075.0,10334.0,1309.0,3178.0,3562.0,8083.0,8681.0,10021.0,11707.0,11503.0,2271.0,4311.0,4848.0,6304.0,5295.0,4599.0,15.1,15.8,17.9,22.5,35.5,36.1,35.10093168,37.3093979,30.9,27.9,30.29761905,27.27833242,17.3,17.5,13.70341615,10.90611587,16.3,18.5,20.89803313,24.50615381,41.0,40.2,26.1,21.5,1555.0,4511.0,9956.0,12989.0,13563.0,15733.0
